language,iso639_3,family,region_group,locality_lambda_per_char,locality_lambda_per_s,half_life_chars,half_life_seconds,memory_cost_bits_char,speech_char_rate_cps,morphology_index,ud_status,D_order,D_structure,ud_morph_feature_density,ud_mean_dependency_distance,locality_lambda_r2,locality_fit_rmse_bits,hilberg_alpha,hilberg_r2,locality_effective_train_chars,locality_effective_valid_chars,locality_eval_positions
Welsh,cym,Indo-European,Western Europe,0.392747349963612,3.4487236755828348,1.7648678740268147,0.20098658105532427,10.096643756083385,8.781023413403958,0.5923008811692978,loaded,0.3261934879640376,0.47389038001088934,0.6394636417743235,2.9251323140252867,0.9715937318833308,0.0462178059407285,1.5072099104890884,-3.2201035196970764,99979,19981,16876
Irish,gle,Indo-European,Western Europe,0.5394505689110334,4.201206354687246,1.2849132441535338,0.16498765403099222,8.562603616955979,7.787935719797363,0.3016767464480527,loaded,0.66164363027606,0.28583109136707585,0.7255611648865153,3.561040120164573,0.9655875933902948,0.0536883354361466,1.673698748553493,-2.928647822130219,99960,19994,16926
Cebuano,ceb,Austronesian,South/Southeast Asia,0.6011451888238754,5.567260989329645,1.1530445447231632,0.12450416495444509,9.231827024294637,9.261092150170647,,no_matching_treebank,,,,,0.9308059591154014,0.083049404773032,1.412503609598468,-0.3103074456336847,99975,19952,17075
Sindhi,snd,Indo-European,South Asia,0.4997940565361512,3.403707572999092,1.386865592928091,0.20364475081776662,9.71480833471396,6.810220186667815,0.4475063807334692,loaded,0.4310434570454933,0.34913470612991127,0.7080132459209804,2.946363468713205,0.9945967260379018,0.0225842298816882,1.5331623995832369,-2.135825478176799,83250,19999,16099
Ganda,lug,Niger-Congo,Sub-Saharan Africa,0.8702553832402357,5.3432301306830485,0.7964870932244503,0.12972437338597978,8.820430554869187,6.139841515014265,,no_matching_treebank,,,,,0.9284113423030654,0.0870185074338502,1.440231776520959,-0.1304468511427514,99984,19992,16504
Northern Sotho,nso,Niger-Congo,Sub-Saharan Africa,0.8015671243591448,4.082607727325304,0.8647400317398477,0.16978049983118423,10.384070707903993,5.093282400509328,,no_matching_treebank,,,,,0.9159851359611064,0.0963482851942893,1.2446796768627648,0.2580346204750359,96977,19995,16696
Somali,som,Afro-Asiatic,Sub-Saharan Africa,0.654214659389314,5.32833291962679,1.0595103160894825,0.13008706306746595,8.083194766128695,8.144624769797423,,no_matching_treebank,,,,,0.9503611237182896,0.0649328924333704,1.5937248492201026,-1.4067596523085295,100000,19954,16700
Xhosa,xho,Niger-Congo,Sub-Saharan Africa,0.7830161971957948,6.620197032563799,0.8852271294544145,0.10470189590286419,9.36628070733525,8.454738300781797,,no_matching_treebank,,,,,0.9169175655133456,0.0937472641776217,1.4854593672141485,-0.6734877916572899,99984,19981,16586
Swahili,swa,Niger-Congo,Sub-Saharan Africa,0.7056285481902849,4.938365010275714,0.9823117025772974,0.1403596492194582,9.121749505301905,6.998533467702045,,no_matching_treebank,,,,,0.9285500396149045,0.0848244701750781,1.3872916341998391,-0.1099155593581437,99970,19982,16495
Igbo,ibo,Niger-Congo,Sub-Saharan Africa,0.5841265734597896,3.505971524900459,1.1866386705443397,0.19770473765602675,8.932584565540765,6.002075036810159,,no_matching_treebank,,,,,0.9918749534139996,0.0269989225372017,1.39094582771116,-0.4256527902043181,92669,19978,16398
Hausa,hau,Afro-Asiatic,Sub-Saharan Africa,0.8450104618245033,6.1460874157334935,0.82028236557372,0.11277860753908964,8.349594145001209,7.273386180880146,,no_matching_treebank,,,,,0.9386504785526278,0.0812073004181052,1.451377470610608,0.0737152884326778,99993,19951,16740
Fulah,ful,Niger-Congo,Sub-Saharan Africa,0.5682542559497057,3.543359950120777,1.2197835270085393,0.19561861914037806,10.824141886445805,6.235518543013584,,no_matching_treebank,,,,,0.9524028448429817,0.0635178284510234,1.283247105590335,-0.7992837975542506,88402,19993,16276
Occitan,oci,Indo-European,Western Europe,0.5207808974291299,4.153268216257235,1.3309765853196867,0.16689198589360135,10.099217345718907,7.975077881619938,0.8084694283409537,loaded,0.172720562875468,0.7290705265540409,0.0069945043180358,2.3605947955390336,0.9776237696662616,0.0474999421803985,1.484744455725708,-1.565608322744215,99997,19982,17053
Zulu,zul,Niger-Congo,Sub-Saharan Africa,0.8152881167044623,5.440599794901966,0.8501867822651062,0.12740271416571544,9.473785805964118,6.673223469629149,,no_matching_treebank,,,,,0.9298808416965548,0.0916301094067831,1.4648102020435647,-0.2956621409971527,99984,19990,16782
Kamba,kam,Niger-Congo,Sub-Saharan Africa,0.9289223312138228,6.025494631318471,0.7461842150507996,0.11503573116756291,9.815165997559504,6.486542985186885,,no_matching_treebank,,,,,0.9109240958559744,0.0924911837682522,1.2604821402744752,0.1776849050987748,95911,19981,16473
Māori,mri,Austronesian,Pacific,0.6882937679614565,3.7677800711665257,1.007051367925157,0.18396699580858047,10.277680276420986,5.47408715078983,,no_matching_treebank,,,,,0.9349630252901416,0.0824897997165881,1.136980097052754,0.5676082592437361,98064,19980,16702
Catalan,cat,Indo-European,Western Europe,0.5657942264964,5.320628727387812,1.2250870512627183,0.13027542722385163,8.336781057026652,9.403822941663872,0.3683353316518794,loaded,0.5073952080162114,0.29587151472627027,0.6712528616959196,3.680531821540735,0.9777760141885616,0.0451076907419791,1.6393282499086703,-1.828673806570684,99998,19989,16654
Danish,dan,Indo-European,Western Europe,0.4865603803817914,4.601159074301108,1.4245861531431117,0.1506462109583183,9.554296342397766,9.456501720692296,0.7897482794746019,loaded,0.17544455146411764,0.65900546409675,0.692084701901065,3.462122508059741,0.9876536334119655,0.0312059371960531,1.4983795576205357,-2.416911132205554,99679,19971,16434
Wolof,wol,Niger-Congo,Sub-Saharan Africa,0.5663207331762874,3.849066080344946,1.223948091521097,0.18008191236296645,8.77394059828786,6.796618691243973,0.5773762651847604,loaded,0.3006293975654528,0.41071114675319587,0.5482364925088069,3.184552809189648,0.9759078368128932,0.041876426034715,1.438342674588099,-1.3187245682733575,90380,19981,16346
Pashto,pus,Indo-European,Central Asia / Middle East / North Africa,0.5694004930311687,4.185279238852408,1.2173280301708533,0.16561551595539523,10.199616446858016,7.350325983337894,,no_matching_treebank,,,,,0.97293820663052,0.0521840659101067,1.5187279380596597,-2.0436550100306623,89511,19954,16245
German,deu,Indo-European,Western Europe,0.5787893966613978,6.518219107288747,1.1975809932908097,0.10633996328611602,9.06587010103262,11.261814996763016,0.470228041427494,loaded,0.4244849159328974,0.3767747752683712,0.8964602167948545,3.8154458371062288,0.9756138720127124,0.0481797718227118,1.5384399323844549,-1.4598969311236982,100000,19997,17168
Ukrainian,ukr,Indo-European,Eastern Europe,0.4621755352615189,4.243325543064729,1.4997487484224639,0.16334998894742397,11.296385947484572,9.181198958667665,0.794019772838431,loaded,0.2385269802903034,0.9194821333864422,0.7350820605255668,3.3029447357805566,0.9711266443950816,0.0542228732659592,1.509954341036177,-2.8950007511645106,99977,19998,16532
Romanian,ron,Indo-European,Eastern Europe,0.5017251423904755,4.587695428137244,1.3815276971320136,0.15108831687228766,8.672273743076662,9.143841997391467,0.3324051744826339,loaded,0.6189729768097609,0.308195648756016,0.7888638073739654,3.5852020068655928,0.9509541929971632,0.0633948302990808,1.6491876287793603,-2.809832680923346,99985,19992,16928
Lingala,lin,Niger-Congo,Sub-Saharan Africa,0.8498117687110729,5.090954954024817,0.8156478953112828,0.13615268389125218,8.074603888108687,5.990685398186911,,no_matching_treebank,,,,,0.9614933047369096,0.0742221163785696,1.433261763318416,0.7172914048850012,99980,19982,16451
