language,lag_characters,lag_seconds,information_bits,surprisal_bits,source
Icelandic,1,0.1021774644735369,1.0003805677157174,4.984071722674083,google/fleurs
Icelandic,2,0.2043549289470739,0.4518864704735232,3.983691154958366,google/fleurs
Icelandic,3,0.3065323934206109,0.1866291957698624,3.5318046844848427,google/fleurs
Icelandic,4,0.4087098578941479,0.0554128224166805,3.3451754887149803,google/fleurs
Icelandic,5,0.5108873223676849,0.0271409902794621,3.2897626662983,google/fleurs
Icelandic,6,0.6130647868412219,0.0,3.2626216760188376,google/fleurs
Icelandic,7,0.7152422513147589,0.0,3.2626216760188376,google/fleurs
Icelandic,8,0.8174197157882959,0.0,3.2626216760188376,google/fleurs
Icelandic,9,0.9195971802618328,0.0,3.2626216760188376,google/fleurs
Icelandic,10,1.0217746447353695,0.0,3.2626216760188376,google/fleurs
Odia,1,0.1061906006196573,1.5926400104237342,5.6206352114399865,google/fleurs
Odia,2,0.2123812012393146,0.7376245118151452,4.027995201016252,google/fleurs
Odia,3,0.3185718018589719,0.3524627934221902,3.290370689201107,google/fleurs
Odia,4,0.4247624024786292,0.1542130291000023,2.937907895778917,google/fleurs
Odia,5,0.5309530030982865,0.0451551973432029,2.7836948666789145,google/fleurs
Odia,6,0.6371436037179439,0.0167906569653992,2.738539669335712,google/fleurs
Odia,7,0.7433342043376011,0.0068016051238095,2.7217490123703123,google/fleurs
Odia,8,0.8495248049572585,0.0038529146674997,2.7149474072465027,google/fleurs
Odia,9,0.9557154055769158,0.0013748731192033,2.711094492579003,google/fleurs
Odia,10,1.061906006196573,0.0009635276128907,2.7097196194598,google/fleurs
Afrikaans,1,0.0926398518894979,1.02826704971258,4.6898359866352,google/fleurs
Afrikaans,2,0.1852797037789958,0.4671003827865769,3.66156893692262,google/fleurs
Afrikaans,3,0.2779195556684938,0.2737991407910094,3.194468554136043,google/fleurs
Afrikaans,4,0.3705594075579917,0.1279930225729519,2.920669413345033,google/fleurs
Afrikaans,5,0.4631992594474897,0.0448044093684782,2.792676390772081,google/fleurs
Afrikaans,6,0.5558391113369876,0.0162949826765235,2.7478719814036032,google/fleurs
Afrikaans,7,0.6484789632264856,0.0101508801663299,2.73157699872708,google/fleurs
Afrikaans,8,0.7411188151159835,0.0043442045453989,2.72142611856075,google/fleurs
Afrikaans,9,0.8337586670054815,0.001906623387291,2.717081914015351,google/fleurs
Afrikaans,10,0.9263985188949796,0.002479846207041,2.71517529062806,google/fleurs
Georgian,1,0.1071498613422074,1.5953989850312076,5.321678777423386,google/fleurs
Georgian,2,0.2142997226844148,0.5263543857694941,3.726279792392178,google/fleurs
Georgian,3,0.3214495840266222,0.5799849355986519,3.199925406622684,google/fleurs
Georgian,4,0.4285994453688297,0.3898554653946324,2.619940471024032,google/fleurs
Georgian,5,0.5357493067110372,0.1931545860296637,2.2300850056293995,google/fleurs
Georgian,6,0.6428991680532445,0.1145469815441244,2.036930419599736,google/fleurs
Georgian,7,0.750049029395452,0.0790665966921579,1.9223834380556115,google/fleurs
Georgian,8,0.8571988907376594,0.056360295886944,1.8433168413634533,google/fleurs
Georgian,9,0.9643487520798668,0.0411878381262622,1.7869565454765093,google/fleurs
Georgian,10,1.0714986134220743,0.0282427451594582,1.745768707350247,google/fleurs
Georgian,11,1.1786484747642818,0.0219942750018253,1.7175259621907888,google/fleurs
Georgian,12,1.285798336106489,0.0172267416552087,1.6955316871889634,google/fleurs
Georgian,13,1.3929481974486966,0.0143465099950081,1.6783049455337546,google/fleurs
Georgian,14,1.500098058790904,0.0106450031864457,1.6639584355387464,google/fleurs
Georgian,15,1.6072479201331114,0.0071901929438327,1.6533134323523009,google/fleurs
Georgian,16,1.7143977814753188,0.0055667185800023,1.646123239408468,google/fleurs
Georgian,17,1.8215476428175263,0.0045720206318919,1.6405565208284656,google/fleurs
Georgian,18,1.9286975041597336,0.0035959000323613,1.6359845001965736,google/fleurs
Georgian,19,2.035847365501941,0.0026773074556485,1.6323886001642125,google/fleurs
Georgian,20,2.1429972268441486,0.0018097746271359,1.6297112927085635,google/fleurs
Slovak,1,0.1068401357728288,1.2643762960943017,5.2650944153452,google/fleurs
Slovak,2,0.2136802715456577,0.575719818920104,4.000718119250899,google/fleurs
Slovak,3,0.3205204073184866,0.5683060534741551,3.424998300330795,google/fleurs
Slovak,4,0.4273605430913155,0.3420670397969947,2.85669224685664,google/fleurs
Slovak,5,0.5342006788641445,0.2107881772287942,2.514625207059645,google/fleurs
Slovak,6,0.6410408146369733,0.1318224759646984,2.303837029830851,google/fleurs
Slovak,7,0.7478809504098022,0.089404630664958,2.1720145538661524,google/fleurs
Slovak,8,0.8547210861826311,0.0701610068679987,2.0826099232011943,google/fleurs
Slovak,9,0.96156122195546,0.0485225449226494,2.012448916333196,google/fleurs
Slovak,10,1.068401357728289,0.0358788188601435,1.9639263714105464,google/fleurs
Slovak,11,1.1752414935011175,0.0264326998238157,1.9280475525504024,google/fleurs
